Date,Time,Open,High,Low,Close,Volume
2023.01.03,1:00:00,3872.2,3875.9,3853.3,3854,538
2023.01.03,1:15:00,3854,3854.8,3848.8,3849,386
2023.01.03,1:30:00,3849,3849.8,3847.3,3848.8,220
2023.01.03,1:45:00,3848.5,3849.3,3846.5,3849,194
2023.01.03,2:00:00,3848.8,3849.3,3840.8,3842.3,318
2023.01.03,2:15:00,3842.3,3844.3,3840.8,3841.3,267
2023.01.03,2:30:00,3841.3,3844.3,3841,3841.5,200
2023.01.03,2:45:00,3841.3,3842.5,3833.8,3834.3,245
2023.01.03,3:00:00,3834.3,3834.5,3824.3,3827.3,450
2023.01.03,3:15:00,3827.5,3829.3,3820.5,3821.3,457
2023.01.03,3:30:00,3821.3,3827,3820.5,3826.8,648
2023.01.03,3:45:00,3826.8,3831.8,3824.5,3831,370
2023.01.03,4:00:00,3830.5,3833.4,3828.5,3830.5,313
2023.01.03,4:15:00,3830.5,3834.8,3828.5,3833.8,423
2023.01.03,4:30:00,3834,3840.8,3832.8,3840.5,352
2023.01.03,4:45:00,3841,3841,3837.8,3839,323
2023.01.03,5:00:00,3839.3,3840.5,3837.5,3838.5,364
2023.01.03,5:15:00,3838.5,3840.3,3837.8,3839.8,301
2023.01.03,5:30:00,3840,3843.5,3838.8,3842.3,331
2023.01.03,5:45:00,3842.3,3845.3,3842.3,3844.3,208
2023.01.03,6:00:00,3844.3,3845,3841.3,3842.3,209
2023.01.03,6:15:00,3842.3,3843.5,3841.8,3843.5,129
2023.01.03,6:30:00,3843.9,3845.1,3843.3,3843.3,154
2023.01.03,6:45:00,3843.5,3843.8,3841.5,3841.6,175
2023.01.03,7:00:00,3841.8,3845.8,3841.5,3844.8,213
2023.01.03,7:15:00,3844.8,3846.3,3842.3,3842.3,238
2023.01.03,7:30:00,3842.4,3851,3842.4,3849.6,299
2023.01.03,7:45:00,3849.8,3851,3848,3849.3,288
2023.01.03,8:00:00,3849,3849.3,3846.4,3848.5,362
2023.01.03,8:15:00,3848.4,3850.3,3848.3,3850,257
2023.01.03,8:30:00,3850,3850,3846.8,3846.8,14
